Konten,cleaned_text,tokens,stemmed_tokens,stemmed_text
"Berikut ilustrasi perbandingan hasil pemantauan kualitas udara Jakarta pada Jumat sore, 5 Juli 2024.",berikut ilustrasi perbandingan hasil pemantauan kualitas udara jakarta pada jumat sore juli,"['ilustrasi', 'perbandingan', 'hasil', 'pemantauan', 'kualitas', 'udara', 'jakarta', 'jumat', 'sore', 'juli']","['ilustrasi', 'banding', 'hasil', 'pantau', 'kualitas', 'udara', 'jakarta', 'jumat', 'sore', 'juli']",ilustrasi banding hasil pantau kualitas udara jakarta jumat sore juli
Praktisi kesehatan meminta masyarakat Jakarta menerapkan 3M untuk mencegah penyakit akibat kualitas udara Jakarta yang masih buruk.,praktisi kesehatan meminta masyarakat jakarta menerapkan m untuk mencegah penyakit akibat kualitas udara jakarta  masih buruk,"['praktisi', 'kesehatan', 'masyarakat', 'jakarta', 'menerapkan', 'm', 'mencegah', 'penyakit', 'akibat', 'kualitas', 'udara', 'jakarta', 'buruk']","['praktisi', 'sehat', 'masyarakat', 'jakarta', 'terap', 'm', 'cegah', 'sakit', 'akibat', 'kualitas', 'udara', 'jakarta', 'buruk']",praktisi sehat masyarakat jakarta terap m cegah sakit akibat kualitas udara jakarta buruk
Platform yang dirilis Dinas LH DKI Jakarta untuk memantau kualitas udara ini mengintegrasikan data milik lembaga pemerintah dan non-pemerintah.,platform  dirilis dinas lh dki jakarta untuk memantau kualitas udara  mengintegrasikan data milik lembaga pemerintah  nonpemerintah,"['platform', 'dirilis', 'dinas', 'lh', 'dki', 'jakarta', 'memantau', 'kualitas', 'udara', 'mengintegrasikan', 'data', 'milik', 'lembaga', 'pemerintah', 'nonpemerintah']","['platform', 'rilis', 'dinas', 'lh', 'dki', 'jakarta', 'pantau', 'kualitas', 'udara', 'integrasi', 'data', 'milik', 'lembaga', 'perintah', 'nonpemerintah']",platform rilis dinas lh dki jakarta pantau kualitas udara integrasi data milik lembaga perintah nonpemerintah
Platform digital untuk memantau kualitas udara juga dilengkapi rekomendasi aktivitas yang tepat untuk dilakukan masyarakat berdasarkan kadar udara.,platform digital untuk memantau kualitas udara juga dilengkapi rekomendasi aktivitas  tepat untuk dilakukan masyarakat berdasarkan kadar udara,"['platform', 'digital', 'memantau', 'kualitas', 'udara', 'dilengkapi', 'rekomendasi', 'aktivitas', 'masyarakat', 'berdasarkan', 'kadar', 'udara']","['platform', 'digital', 'pantau', 'kualitas', 'udara', 'lengkap', 'rekomendasi', 'aktivitas', 'masyarakat', 'dasar', 'kadar', 'udara']",platform digital pantau kualitas udara lengkap rekomendasi aktivitas masyarakat dasar kadar udara
Ketidaktelitian tidak hanya menyebabkan penurunan efektivitas dari sistem AI namun juga membawa perusahaan kepada ambang ancaman keamanan.,ketidaktelitian tidak hanya menyebabkan penurunan efektivitas dari sistem ai namun juga membawa perusahaan kepada ambang ancaman keamanan,"['ketidaktelitian', 'menyebabkan', 'penurunan', 'efektivitas', 'sistem', 'ai', 'membawa', 'perusahaan', 'ambang', 'ancaman', 'keamanan']","['ketidaktelitian', 'sebab', 'turun', 'efektivitas', 'sistem', 'ai', 'bawa', 'usaha', 'ambang', 'ancam', 'aman']",ketidaktelitian sebab turun efektivitas sistem ai bawa usaha ambang ancam aman
"Berdasarkan data situs pemantau kualitas udara IQAir, kualitas udara Jakarta masuk kategori tidak sehat dengan di angka 144.",berdasarkan data situs pemantau kualitas udara iqair kualitas udara jakarta masuk kategori tidak sehat dengan  angka,"['berdasarkan', 'data', 'situs', 'pemantau', 'kualitas', 'udara', 'iqair', 'kualitas', 'udara', 'jakarta', 'masuk', 'kategori', 'sehat', 'angka']","['dasar', 'data', 'situs', 'pantau', 'kualitas', 'udara', 'iqair', 'kualitas', 'udara', 'jakarta', 'masuk', 'kategori', 'sehat', 'angka']",dasar data situs pantau kualitas udara iqair kualitas udara jakarta masuk kategori sehat angka
Polusi udara berdampak pada berkurangnya tingkat kebahagiaan seseorang dan juga meningkatkan tingkat gejala depresi.,polusi udara berdampak pada berkurangnya tingkat kebahagiaan seseorang  juga meningkatkan tingkat gejala depresi,"['polusi', 'udara', 'berdampak', 'berkurangnya', 'tingkat', 'kebahagiaan', 'meningkatkan', 'tingkat', 'gejala', 'depresi']","['polusi', 'udara', 'dampak', 'kurang', 'tingkat', 'bahagia', 'tingkat', 'tingkat', 'gejala', 'depresi']",polusi udara dampak kurang tingkat bahagia tingkat tingkat gejala depresi
"Dampak polusi udara dalam jangka panjang dapat meningkatkan risiko penyakit jantung, termasuk serangan jantung dan stroke, serta infeksi pernapasan.",dampak polusi udara dalam jangka panjang dapat meningkatkan risiko penyakit jantung termasuk serangan jantung  stroke serta infeksi pernapasan,"['dampak', 'polusi', 'udara', 'jangka', 'meningkatkan', 'risiko', 'penyakit', 'jantung', 'serangan', 'jantung', 'stroke', 'infeksi', 'pernapasan']","['dampak', 'polusi', 'udara', 'jangka', 'tingkat', 'risiko', 'sakit', 'jantung', 'serang', 'jantung', 'stroke', 'infeksi', 'napas']",dampak polusi udara jangka tingkat risiko sakit jantung serang jantung stroke infeksi napas
Paparan polusi udara pada masa kanak-kanak berisiko masalah paru-paru dan kemudian secara konsisten dikaitkan masalah pernapasan di masa dewasa.,paparan polusi udara pada masa kanakkanak berisiko masalah paruparu  kemudian secara konsisten dikaitkan masalah pernapasan  masa dewasa,"['paparan', 'polusi', 'udara', 'kanakkanak', 'berisiko', 'paruparu', 'konsisten', 'dikaitkan', 'pernapasan', 'dewasa']","['papar', 'polusi', 'udara', 'kanakkanak', 'risiko', 'paruparu', 'konsisten', 'kait', 'napas', 'dewasa']",papar polusi udara kanakkanak risiko paruparu konsisten kait napas dewasa
"Psikolog mengatakan selain dapat berdampak terhadap kesehatan fisik, paparan polusi udara terus-menerus dapat menyebabkan gangguan kesehatan mental.",psikolog mengatakan selain dapat berdampak terhadap kesehatan fisik paparan polusi udara terusmenerus dapat menyebabkan gangguan kesehatan mental,"['psikolog', 'berdampak', 'kesehatan', 'fisik', 'paparan', 'polusi', 'udara', 'terusmenerus', 'menyebabkan', 'gangguan', 'kesehatan', 'mental']","['psikolog', 'dampak', 'sehat', 'fisik', 'papar', 'polusi', 'udara', 'terusmenerus', 'sebab', 'ganggu', 'sehat', 'mental']",psikolog dampak sehat fisik papar polusi udara terusmenerus sebab ganggu sehat mental
"Polusi udara, IDAI merekomendasikan agar orang tua memberikan banyak buah-buahan kaya akan air pada anak, seperti jeruk dan semangka.",polusi udara idai merekomendasikan agar orang tua memberikan banyak buahbuahan kaya akan air pada anak seperti jeruk  semangka,"['polusi', 'udara', 'idai', 'merekomendasikan', 'orang', 'tua', 'buahbuahan', 'kaya', 'air', 'anak', 'jeruk', 'semangka']","['polusi', 'udara', 'ida', 'rekomendasi', 'orang', 'tua', 'buahbuahan', 'kaya', 'air', 'anak', 'jeruk', 'semangka']",polusi udara ida rekomendasi orang tua buahbuahan kaya air anak jeruk semangka
